sample	mice_id	condition	tissue	replica
M1_4T1_Blood_S2	M1	4T1	Blood	1
M1_4T1_Blood_S6	M1	4T1	Blood	2
M1_4T1_BM_S4	M1	4T1	BM	1
M1_4T1_BM_S8	M1	4T1	BM	2
M1_4T1_DLN_S3	M1	4T1	DLN	1
M1_4T1_DLN_S7	M1	4T1	DLN	2
M1_4T1_Tumor_S5	M1	4T1	Tumor	1
M1_4T1_Tumor_S1	M1	4T1	Tumor	2
M2_4T1_Blood_S2	M2	4T1	Blood	1
M2_4T1_Blood_S6	M2	4T1	Blood	2
M2_4T1_BM_S4	M2	4T1	BM	1
M2_4T1_BM_S8	M2	4T1	BM	2
M2_4T1_DLN_S3	M2	4T1	DLN	1
M2_4T1_DLN_S7	M2	4T1	DLN	2
M2_4T1_Tumor_S1	M2	4T1	Tumor	1
M2_4T1_Tumor_S5	M2	4T1	Tumor	2
M3_4T1_Blood_S10	M3	4T1	Blood	1
M3_4T1_Blood_S9	M3	4T1	Blood	2
M3_4T1_BM_S7	M3	4T1	BM	1
M3_4T1_BM_S8	M3	4T1	BM	2
M3_4T1_DLN_S11	M3	4T1	DLN	1
M3_4T1_DLN_S12	M3	4T1	DLN	2
M3_4T1_Tumor_S13	M3	4T1	Tumor	1
M3_4T1_Tumor_S14	M3	4T1	Tumor	2
M4_4T1_Blood_S2	M4	4T1	Blood	1
M4_4T1_Blood_S7	M4	4T1	Blood	2
M4_4T1_BM_S10	M4	4T1	BM	1
M4_4T1_BM_S5	M4	4T1	BM	2
M4_4T1_DLN_S4	M4	4T1	DLN	1
M4_4T1_DLN_S9	M4	4T1	DLN	2
M4_4T1_Tumor_S1	M4	4T1	Tumor	1
M4_4T1_Tumor_S6	M4	4T1	Tumor	2
N1_control_Blood_S5	N1	control	Blood	1
N1_control_Blood_S6	N1	control	Blood	2
N1_control_BM_S1	N1	control	BM	1
N1_control_BM_S2	N1	control	BM	2
N1_control_LN_S3	N1	control	LN	1
N1_control_LN_S4	N1	control	LN	2
N2_control_Blood_S5	N2	control	Blood	1
N2_control_Blood_S6	N2	control	Blood	2
N2_control_BM_S1	N2	control	BM	1
N2_control_BM_S2	N2	control	BM	2
N2_control_LN_S3	N2	control	LN	1
N2_control_LN_S4	N2	control	LN	2
